 	Area	X	Y	Slice
1	240	38.000	43.000	1
2	156	635.385	43.000	1
3	251	212.070	64.376	1
4	331	493.569	77.548	1
5	284	292.056	78.880	1
6	267	400.170	102.815	1
7	262	67.592	117.351	1
8	243	603.105	118.969	1
9	268	511.213	159.668	1
10	321	566.410	172.394	1
11	246	147.207	185.000	1
12	296	304.267	200.524	1
13	250	112.740	206.800	1
14	285	390.875	228.356	1
15	272	183.897	252.000	1
16	268	377.787	255.332	1
17	252	616.595	256.000	1
18	250	317.200	269.260	1
19	312	117.766	280.279	1
20	258	528.539	284.380	1
21	305	491.185	356.707	1
22	328	303.326	364.210	1
23	271	413.847	365.600	1
24	243	184.895	366.031	1
25	280	596.075	384.604	1
26	243	107.895	399.031	1
27	240	43.000	435.000	1
28	216	633.204	435.000	1
29	174	212.638	65.828	2
30	261	494.305	77.653	2
31	191	291.589	79.092	2
32	190	399.484	102.837	2
33	168	69.262	117.738	2
34	142	604.085	119.458	2
35	151	511.394	159.222	2
36	265	566.206	172.281	2
37	169	148.216	185.500	2
38	195	304.772	201.469	2
39	179	111.573	206.897	2
40	181	392.583	227.522	2
41	163	185.150	251.868	2
42	151	378.606	255.778	2
43	166	614.898	256.247	2
44	152	318.237	269.789	2
45	151	115.619	280.970	2
46	191	527.715	285.558	2
47	204	491.176	357.353	2
48	203	304.140	364.392	2
49	170	411.659	365.841	2
50	144	183.167	366.667	2
51	164	597.104	385.262	2
52	167	107.811	398.865	2
53	174	212.638	65.828	3
54	280	494.793	77.643	3
55	212	291.118	79.594	3
56	190	399.484	102.837	3
57	168	69.262	117.738	3
58	142	604.085	119.458	3
59	166	510.898	159.247	3
60	265	566.206	172.281	3
61	169	148.216	185.500	3
62	213	304.500	202.101	3
63	179	111.573	206.897	3
64	205	392.217	228.285	3
65	180	184.667	252.000	3
66	151	378.606	255.778	3
67	166	614.898	256.247	3
68	152	318.237	269.789	3
69	170	115.141	280.453	3
70	191	527.715	285.558	3
71	204	491.176	357.353	3
72	193	304.904	363.583	3
73	170	411.659	365.841	3
74	144	183.167	366.667	3
75	164	597.104	385.262	3
76	170	107.453	398.859	3
77	174	212.638	65.828	4
78	261	494.305	77.653	4
79	186	291.565	79.290	4
80	185	399.630	102.976	4
81	164	69.207	117.878	4
82	142	604.085	119.458	4
83	151	511.394	159.222	4
84	244	566.348	172.365	4
85	169	148.216	185.500	4
86	192	304.667	201.531	4
87	179	111.573	206.897	4
88	158	392.329	227.639	4
89	149	184.648	251.856	4
90	151	378.606	255.778	4
91	163	614.850	256.132	4
92	144	318.000	270.000	4
93	146	115.473	280.801	4
94	191	527.715	285.558	4
95	172	492.000	357.000	4
96	164	304.262	362.104	4
97	170	411.659	365.841	4
98	144	183.167	366.667	4
99	164	597.104	385.262	4
100	164	107.689	398.835	4
101	174	212.638	65.828	5
102	280	494.793	77.643	5
103	195	291.454	79.059	5
104	190	399.484	102.837	5
105	168	69.262	117.738	5
106	142	604.085	119.458	5
107	166	510.898	159.247	5
108	265	566.206	172.281	5
109	169	148.216	185.500	5
110	213	304.500	202.101	5
111	179	111.573	206.897	5
112	205	392.217	228.285	5
113	180	184.667	252.000	5
114	151	378.606	255.778	5
115	166	614.898	256.247	5
116	152	318.237	269.789	5
117	170	115.141	280.453	5
118	191	527.715	285.558	5
119	204	491.176	357.353	5
120	198	304.000	361.500	5
121	170	411.659	365.841	5
122	144	183.167	366.667	5
123	164	597.104	385.262	5
124	170	107.453	398.859	5
125	174	212.638	65.828	6
126	261	494.305	77.653	6
127	195	291.454	79.059	6
128	190	399.484	102.837	6
129	168	69.262	117.738	6
130	142	604.085	119.458	6
131	166	510.898	159.247	6
132	265	566.206	172.281	6
133	169	148.216	185.500	6
134	213	304.500	202.101	6
135	183	111.697	207.014	6
136	205	392.217	228.285	6
137	180	184.667	252.000	6
138	151	378.606	255.778	6
139	166	614.898	256.247	6
140	152	318.237	269.789	6
141	170	115.141	280.453	6
142	199	527.972	285.374	6
143	204	491.176	357.353	6
144	198	304.000	361.500	6
145	170	411.659	365.841	6
146	144	183.167	366.667	6
147	164	597.104	385.262	6
148	170	107.453	398.859	6
149	174	212.638	65.828	7
150	261	494.305	77.653	7
151	195	291.454	79.059	7
152	190	399.484	102.837	7
153	168	69.262	117.738	7
154	142	604.085	119.458	7
155	166	510.916	159.030	7
156	265	566.206	172.281	7
157	169	148.216	185.500	7
158	213	304.500	202.101	7
159	191	111.798	207.280	7
160	205	392.217	228.285	7
161	180	184.667	252.000	7
162	151	378.606	255.778	7
163	166	614.898	256.247	7
164	152	318.237	269.789	7
165	170	115.141	280.453	7
166	194	528.835	285.510	7
167	204	491.176	357.353	7
168	189	303.839	361.151	7
169	170	411.659	365.841	7
170	144	183.167	366.667	7
171	164	597.104	385.262	7
172	170	107.453	398.859	7
173	174	212.638	65.828	8
174	261	494.305	77.653	8
175	186	291.565	79.290	8
176	185	399.630	102.976	8
177	166	69.120	117.837	8
178	142	604.085	119.458	8
179	140	511.000	159.000	8
180	246	566.293	172.394	8
181	169	148.216	185.500	8
182	192	304.667	201.531	8
183	183	111.697	207.014	8
184	179	392.668	227.489	8
185	149	184.648	251.856	8
186	151	378.606	255.778	8
187	163	614.850	256.132	8
188	152	318.237	269.789	8
189	146	115.473	280.801	8
190	183	528.462	285.407	8
191	200	491.110	357.240	8
192	216	304.338	362.153	8
193	170	411.659	365.841	8
194	144	183.167	366.667	8
195	164	597.104	385.262	8
196	164	107.689	398.835	8
197	174	212.638	65.828	9
198	261	494.305	77.653	9
199	186	291.565	79.290	9
200	185	399.630	102.976	9
201	173	68.864	117.720	9
202	142	604.085	119.458	9
203	169	511.962	159.358	9
204	246	566.293	172.394	9
205	169	148.216	185.500	9
206	192	304.667	201.531	9
207	183	111.697	207.014	9
208	179	392.668	227.489	9
209	149	184.648	251.856	9
210	151	378.606	255.778	9
211	163	614.850	256.132	9
212	152	318.237	269.789	9
213	146	115.473	280.801	9
214	183	528.462	285.407	9
215	200	491.110	357.240	9
216	178	303.983	360.584	9
217	170	411.659	365.841	9
218	144	183.167	366.667	9
219	164	597.104	385.262	9
220	164	107.689	398.835	9
221	174	212.638	65.828	10
222	280	494.793	77.643	10
223	212	291.118	79.594	10
224	190	399.484	102.837	10
225	173	68.864	117.720	10
226	142	604.085	119.458	10
227	169	511.962	159.358	10
228	265	566.206	172.281	10
229	169	148.216	185.500	10
230	213	304.500	202.101	10
231	191	111.798	207.280	10
232	256	393.938	227.645	10
233	180	184.667	252.000	10
234	151	378.606	255.778	10
235	166	614.898	256.247	10
236	152	318.237	269.789	10
237	170	115.141	280.453	10
238	195	528.900	285.259	10
239	204	491.176	357.353	10
240	187	304.152	360.329	10
241	170	411.659	365.841	10
242	144	183.167	366.667	10
243	164	597.104	385.262	10
244	170	107.453	398.859	10
245	174	212.638	65.828	11
246	280	494.793	77.643	11
